"Master list — 10,576 student clubs. Instagram URLs: 9,420. Categories: 10,576. Discord URLs: 162. SPA merge sources: enrichment.",,,,,,,,,
School,Name,Category,Campus,Directory URL,Instagram URL,Instagram Handle,IG Source,Discord URL,Discord Source
brock,Accessibility Association,Community Service,,https://www.brockbusu.ca/organisation/8871/,https://www.instagram.com/brockaccessible/,@brockaccessible,profile_page,,
brock,Averroes Discourse Society,Religion & Spirituality,,https://www.brockbusu.ca/organisation/9284/,https://www.instagram.com/averroessociety/,@ads.ubrock,found,,
brock,Badger Cap,Games & Recreation,,https://www.brockbusu.ca/organisation/8175/,https://www.instagram.com/brock_badger_cap/,@brock_badger_cap,profile_page,,
brock,Best Buddies Brock University,Community Service,,https://www.brockbusu.ca/organisation/6060/,https://www.instagram.com/bestbuddiesbrock/,@bestbuddiesbrock,found,,
brock,BIPOC Collective (formerly BIPOC Cacus),Arts & Culture,,https://www.brockbusu.ca/organisation/7124/,https://www.instagram.com/brocku_bipoccollective/,@brocku_bipoccollective,found,,
brock,BIPOC Law Society,Community Service,,https://www.brockbusu.ca/organisation/9174/,https://www.instagram.com/brock.bls/,@brock.bls,found,,
brock,BIPOC Sisters in STEAM,Politics & Advocacy,,https://www.brockbusu.ca/organisation/8187/,https://www.instagram.com/brock.bss/,@brock.bss,profile_page,,
brock,Black Future Lawyers Brock Chapter,Politics & Advocacy,,https://www.brockbusu.ca/organisation/9295/,https://www.instagram.com/blackfuturelawyers/,,profile_page,,
brock,Black Nursing Students' Association,Politics & Advocacy,,https://www.brockbusu.ca/organisation/9151/,https://www.instagram.com/Bnsa.Brock/,@Bnsa.Brock,profile_page,,
brock,Black Students' Association,Community Service,,https://www.brockbusu.ca/organisation/6076/,https://www.instagram.com/brock.blsa/,@brock.blsa,found,,
brock,Brock American Sign Language,Games & Recreation,,https://www.brockbusu.ca/organisation/6100/,https://www.instagram.com/brocku.aslclub/,@brocku.aslclub,profile_page,,
brock,Brock Amicus Curiae,Politics & Advocacy,,https://www.brockbusu.ca/organisation/7058/,https://www.instagram.com/brockamicuscuriae/,@brockamicuscuriae,profile_page,,
brock,Brock Anime,Games & Recreation,,https://www.brockbusu.ca/organisation/6108/,https://www.instagram.com/brockanimeclub/,@brockanimeclub,found,,
